Transaction_ID,Company_Name,Industry_Sector,Transaction_Amount_INR,Cybersecurity_Risk_Level,Forensic_Audit_Conducted,Fraud_Detected,Fraud_Type,Anomaly_Score,Cybersecurity_Breach
1,Company_1,IT Services,4402646,High,No,No,None,0.24,No
2,Company_2,Healthcare,180700,Medium,No,Yes,Identity Theft,0.45,No
3,Company_3,Manufacturing,123834,Low,No,No,None,0.09,No
4,Company_4,Healthcare,3012766,Medium,Yes,Yes,Identity Theft,0.1,No
5,Company_5,Healthcare,4351552,Medium,No,No,None,0.25,No
6,Company_6,Banking,2975927,High,No,No,None,0.56,No
7,Company_7,Manufacturing,755796,High,No,No,None,0.07,No
8,Company_8,Manufacturing,4906692,Medium,No,No,None,0.47,No
9,Company_9,Manufacturing,4133539,Low,No,Yes,Identity Theft,0.99,No
10,Company_10,Healthcare,378517,High,No,No,None,0.83,No
11,Company_11,IT Services,4822643,Medium,No,No,None,0.19,No
12,Company_12,Manufacturing,945874,High,No,No,None,0.68,No
13,Company_13,E-commerce,3695235,Low,No,No,None,0.41,No
14,Company_14,Healthcare,1146942,High,No,No,None,0.84,No
15,Company_15,Banking,1056334,Medium,No,No,None,0.05,No
16,Company_16,IT Services,4675403,High,No,No,None,0.9,No
17,Company_17,E-commerce,3806093,Low,Yes,Yes,Financial Statement Fraud,0.69,No
18,Company_18,E-commerce,2355102,Low,Yes,No,None,0.75,No
19,Company_19,Banking,1714913,High,No,Yes,Asset Misappropriation,0,No
20,Company_20,IT Services,1829926,Low,No,No,None,0.41,No
21,Company_21,Healthcare,4191125,Low,No,No,None,0.18,No
22,Company_22,Retail,1092018,Low,Yes,No,None,0.65,No
23,Company_23,IT Services,3413355,Low,No,No,None,0.37,No
24,Company_24,Banking,392640,Low,No,Yes,Asset Misappropriation,0.55,No
25,Company_25,E-commerce,4023122,Low,No,No,None,0.18,No
26,Company_26,Healthcare,2893120,Medium,No,No,None,0.16,No
27,Company_27,IT Services,399611,Medium,No,Yes,Corruption,0.52,Yes
28,Company_28,Retail,776623,Low,Yes,No,None,0.42,No
29,Company_29,Retail,2457599,Medium,No,No,None,0.44,No
30,Company_30,Manufacturing,1257273,Low,No,Yes,Financial Statement Fraud,0.01,No
31,Company_31,Manufacturing,3402111,Low,Yes,No,None,0.01,No
32,Company_32,Banking,3390871,High,No,No,None,0.43,No
33,Company_33,IT Services,2244988,High,No,No,None,0.83,No
34,Company_34,IT Services,2450224,Medium,No,No,None,0.86,No
35,Company_35,E-commerce,1641129,Medium,No,No,None,0.21,No
36,Company_36,E-commerce,4559260,Low,Yes,Yes,Asset Misappropriation,0.44,No
37,Company_37,E-commerce,4821416,Low,Yes,No,None,0.79,No
38,Company_38,Manufacturing,2480367,High,Yes,No,None,0.54,No
39,Company_39,IT Services,4221375,Medium,No,No,None,0.55,No
40,Company_40,IT Services,4171604,Medium,Yes,No,None,0.95,No
41,Company_41,Retail,3360104,Medium,No,No,None,0.51,No
42,Company_42,Manufacturing,4881546,Low,No,No,None,0.97,No
43,Company_43,Healthcare,1719632,High,Yes,No,None,0.11,No
44,Company_44,Manufacturing,3283486,Medium,Yes,No,None,0.18,No
45,Company_45,Healthcare,4897323,Low,Yes,No,None,0.37,Yes
46,Company_46,Retail,2216262,Medium,No,No,None,0.32,No
47,Company_47,Banking,1339849,High,No,No,None,0.51,No
48,Company_48,IT Services,1545602,High,Yes,No,None,0.15,No
49,Company_49,Retail,2839933,High,Yes,No,None,0.96,No
